Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0200465,The Bank Job,"('Crime', 'Drama', 'Romance', 'Thriller')",UNRATED,UK,ENGLISH,7.3,163132,2008-03-07,20.0,5.935256,30.028592
tt0357668,Sky Kids,"('Action', 'Adventure', 'Drama')",UNRATED,USA,ENGLISH,6.9,2898,2008-08-15,,,
tt0361500,Delgo,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance')",,USA,ENGLISH,4.4,2635,2008-12-12,40.0,0.51192,0.51192
tt0363780,Lymelife,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,7.0,13237,2009-11-12,1.5,0.034,0.429307
tt0364970,Babylon A.D.,"('Action', 'Adventure', 'Sci-Fi', 'Thriller')",PG-13,FRANCE,ENGLISH,5.6,88114,2008-08-29,70.0,11.541571,22.531698
tt0365675,Der rote Baron,"('Action', 'Adventure', 'Biography', 'Drama', 'Romance', 'War')",PG-13,GERMANY,GERMAN,6.4,10791,2008-04-10,,0.013931,0.036569
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,"('Action', 'Adventure', 'Fantasy')",PG-13,USA,ENGLISH,6.2,377794,2008-05-22,185.0,126.917373,317.101119
tt0368563,Possession,"('Drama', 'Horror', 'Mystery', 'Thriller')",PG-13,USA,ENGLISH,5.6,6657,2009-07-16,,,
tt0369436,Four Christmases,"('Comedy', 'Drama', 'Romance')",PG-13,GERMANY,ENGLISH,5.7,55323,2008-11-26,80.0,31.069826,120.14604
tt0371746,Iron Man,"('Action', 'Adventure', 'Sci-Fi')",PG-13,USA,ENGLISH,7.9,813186,2008-05-02,140.0,98.618668,318.412101
tt0373051,Journey to the Center of the Earth,"('Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi')",,USA,ENGLISH,5.8,100784,2008-07-11,45.0,21.018141,101.70437
tt0379865,Leatherheads,"('Comedy', 'Drama', 'Romance', 'Sport')",PG-13,USA,ENGLISH,6.0,29462,2008-04-04,58.0,12.682595,31.199215
tt0383028,"Synecdoche, New York","('Comedy', 'Drama')",,USA,ENGLISH,7.5,68634,2008-11-21,21.0,0.172194,3.081925
tt0396707,The Secret of Moonacre,"('Adventure', 'Family', 'Fantasy', 'Romance')",,HUNGARY,ENGLISH,6.2,8753,2009-02-06,32.0,,
tt0397892,Bolt,"('Animation', 'Adventure', 'Comedy', 'Drama', 'Family')",,USA,ENGLISH,6.9,167705,2008-11-21,150.0,26.223128,114.053579
tt0400426,Far Cry,"('Action', 'Adventure', 'Sci-Fi')",,GERMANY,ENGLISH,3.1,12272,2008-10-02,30.0,,
tt0404254,My Sassy Girl,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,6.3,18718,2008-06-26,,,
tt0405393,Rough and Corny,"('Comedy', 'Drama', 'Sport')",,MEXICO,SPANISH,6.7,7499,2009-05-15,,0.21146,1.826674
tt0406759,The Eye,"('Drama', 'Horror', 'Mystery', 'Thriller')",PG-13,USA,ENGLISH,5.4,47986,2008-02-01,12.0,12.425776,31.418697
tt0409345,Surveillance,"('Crime', 'Drama', 'Mystery', 'Thriller')",,USA,ENGLISH,6.4,15909,2008-07-31,3.5,0.00459,0.027349
tt0410377,Nim's Island,"('Adventure', 'Comedy', 'Family', 'Fantasy')",,USA,ENGLISH,6.0,30671,2008-04-04,37.0,13.210579,48.006503
tt0411234,A Previous Engagement,"('Comedy', 'Romance')",UNRATED,CANADA,ENGLISH,5.8,296,2008-05-09,,,
tt0411272,Mesrine Part 2: Public Enemy #1,"('Action', 'Biography', 'Crime', 'Drama', 'Thriller')",,FRANCE,FRENCH,7.5,26037,2008-11-19,,0.100242,0.275125
tt0411475,Hell Ride,"('Action', 'Drama', 'Thriller')",,USA,ENGLISH,5.1,14825,2009-01-17,,0.100164,0.194287
tt0411477,Hellboy II: The Golden Army,"('Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi')",PG-13,USA,ENGLISH,7.0,232239,2008-07-11,85.0,34.539115,75.75467
tt0412536,Brideshead Revisited,"('Drama', 'Romance')",PG-13,UK,ENGLISH,6.7,11143,2008-08-15,20.0,0.339616,6.414563
