Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0323808,The Wicker Tree,"('Drama', 'Horror')",,UK,ENGLISH,3.9,2282,2012-01-27,7.75,,
tt0376136,The Rum Diary,"('Comedy', 'Drama')",,USA,ENGLISH,6.2,93143,2011-10-28,45.0,5.135369,13.100042
tt0377981,Gnomeo & Juliet,"('Animation', 'Adventure', 'Comedy', 'Family', 'Romance')",UNRATED,UK,ENGLISH,6.0,48157,2011-02-11,36.0,25.356909,99.96767
tt0409847,Cowboys & Aliens,"('Action', 'Sci-Fi', 'Thriller', 'Western')",PG-13,USA,ENGLISH,6.0,191144,2011-07-29,163.0,36.43129,100.240551
tt0433035,Real Steel,"('Action', 'Drama', 'Family', 'Sci-Fi', 'Sport')",PG-13,USA,ENGLISH,7.1,278334,2011-10-07,110.0,27.319677,85.468508
tt0448022,A Bird of the Air,"('Drama', 'Romance')",PG-13,USA,ENGLISH,6.6,1026,2011-09-23,,0.003819,0.003819
tt0448694,Puss in Boots,"('Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy')",,USA,ENGLISH,6.6,128872,2011-10-28,130.0,34.077439,149.260504
tt0451154,The Passing,"('Horror',)",UNRATED,USA,ENGLISH,3.5,170,2011-05-20,1.0,,
tt0458339,Captain America: The First Avenger,"('Action', 'Adventure', 'Sci-Fi')",PG-13,USA,ENGLISH,6.9,618329,2011-07-22,140.0,65.058524,176.654505
tt0461336,Saving Private Perez,"('Adventure', 'Comedy', 'Western')",PG-13,MEXICO,SPANISH,6.0,1702,2011-09-02,,0.664725,1.39177
tt0466893,Margaret,"('Drama',)",,USA,ENGLISH,6.5,14373,2012-06-01,14.0,0.007525,0.046495
tt0471042,Tower Heist,"('Action', 'Comedy', 'Crime')",PG-13,USA,ENGLISH,6.2,121916,2011-11-04,75.0,24.02519,78.04657
tt0472181,The Smurfs,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",,USA,ENGLISH,5.5,75293,2011-07-29,110.0,35.611637,142.614158
tt0472399,The Mechanic,"('Action', 'Crime', 'Thriller')",,USA,ENGLISH,6.6,137423,2011-01-28,40.0,11.422006,29.121498
tt0477302,Extremely Loud & Incredibly Close,"('Adventure', 'Drama', 'Mystery')",PG-13,USA,ENGLISH,6.9,91212,2012-01-20,40.0,0.110775,31.847881
