Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0326965,In My Sleep,"('Drama', 'Mystery', 'Thriller')",PG-13,USA,ENGLISH,5.6,1813,2010-04-23,1.0,0.009285,0.05719
tt0393049,Anderson's Cross,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,5.5,104,2010-05-20,0.3,,
tt0398286,Tangled,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance')",,USA,ENGLISH,7.8,348109,2010-11-24,260.0,48.767052,200.821936
tt0411951,Tekken,"('Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller')",,JAPAN,ENGLISH,4.8,24380,2010-03-20,30.0,,
tt0423474,Venus & Vegas,"('Action', 'Comedy', 'Crime')",,USA,ENGLISH,4.2,447,,5.0,,
tt0427152,Dinner for Schmucks,"('Comedy',)",PG-13,USA,ENGLISH,5.9,88770,2010-07-30,,23.527839,73.026337
tt0429493,The A-Team,"('Action', 'Adventure', 'Comedy', 'Crime', 'Thriller')",PG-13,USA,ENGLISH,6.8,230412,2010-06-11,110.0,25.669455,77.222099
tt0435761,Toy Story 3,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",UNRATED,USA,ENGLISH,8.3,651168,2010-06-18,200.0,110.307189,415.00488
tt0446029,Scott Pilgrim vs. the World,"('Action', 'Comedy', 'Fantasy', 'Romance')",PG-13,USA,ENGLISH,7.5,324262,2010-08-13,60.0,10.609795,31.49427
tt0455407,The Crazies,"('Horror', 'Thriller')",,USA,ENGLISH,6.5,102165,2010-02-26,20.0,16.067552,39.123589
tt0464154,Piranha 3D,"('Comedy', 'Horror', 'Thriller')",,USA,ENGLISH,5.5,79646,2010-08-20,24.0,10.106872,25.003155
tt0473075,Prince of Persia: The Sands of Time,"('Action', 'Adventure', 'Fantasy')",PG-13,USA,ENGLISH,6.6,247615,2010-05-28,200.0,37.813075,90.759676
tt0473343,Cielito lindo,"('Drama', 'Thriller')",,USA,ENGLISH,7.2,34,2010-06-18,5.0,,
tt0476023,Stiffs,"('Comedy',)",,USA,ENGLISH,7.3,63,,,,
tt0477080,Unstoppable,"('Action', 'Thriller')",PG-13,USA,ENGLISH,6.8,167833,2010-11-12,100.0,22.688457,81.562942
tt0479204,Perfect Life,"('Horror', 'Thriller')",,USA,ENGLISH,4.3,395,2010-04-27,10.0,,
tt0480255,The Losers,"('Action', 'Adventure', 'Crime', 'Mystery', 'Thriller')",PG-13,USA,ENGLISH,6.4,81227,2010-04-23,25.0,9.406348,23.580735
tt0482461,Barry Munday,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,5.9,3758,2010-03-13,,,
tt0483586,Chasing 3000,"('Family', 'Sport')",UNRATED,USA,ENGLISH,6.4,748,2010-07-16,10.0,,
tt0492389,Furry Vengeance,"('Comedy', 'Family')",,USA,ENGLISH,3.8,14020,2010-04-30,35.0,6.627564,17.596256
tt0493949,Ramona and Beezus,"('Adventure', 'Comedy', 'Family', 'Fantasy')",UNRATED,USA,ENGLISH,6.6,15556,2010-07-23,15.0,7.810481,26.161406
tt0758752,Love & Other Drugs,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,6.7,162263,2010-11-24,30.0,9.739161,32.367005
tt0770778,King of the Avenue,"('Drama', 'Fantasy', 'Thriller')",,USA,ENGLISH,4.0,442,2010-09-17,2.5,,
tt0775489,L'illusionniste,"('Animation', 'Drama')",,FRANCE,ENGLISH,7.5,31084,2011-02-11,,0.038594,2.231474
tt0775543,Night Catches Us,"('Drama', 'Romance')",,USA,ENGLISH,6.3,1374,2010-12-03,,0.013562,0.075795
tt0780653,The Wolfman,"('Drama', 'Fantasy', 'Horror', 'Thriller')",,USA,ENGLISH,5.8,95876,2010-02-12,150.0,35.555065,61.97968
tt0782047,Irreversi,"('Thriller',)",PG-13,HONG KONG,ENGLISH,5.7,84,,2.0,,
tt0790663,The First Grader,"('Biography', 'Drama', 'Romance')",PG-13,UK,ENGLISH,7.5,3926,2011-06-24,,0.020437,0.330533
tt0798817,13,"('Drama', 'Thriller')",,USA,ENGLISH,6.1,37661,,,,
tt0800054,The Guardians,"('Comedy', 'Family')",,USA,ENGLISH,7.8,68,,,,
tt0800320,Clash of the Titans,"('Action', 'Adventure', 'Fantasy')",PG-13,USA,ENGLISH,5.8,250194,2010-04-02,125.0,61.235105,163.214888
tt0804497,It's Kind of a Funny Story,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,7.1,122278,2010-10-08,8.0,2.013406,6.350058
tt0808510,Tooth Fairy,"('Comedy', 'Family', 'Fantasy', 'Sport')",,USA,ENGLISH,5.0,36082,2010-01-22,48.0,14.010409,60.022256
tt0811021,Plumíferos - Aventuras voladoras,"('Animation', 'Adventure', 'Family')",UNRATED,ARGENTINA,SPANISH,4.0,160,2014-04-01,0.75,,
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,"('Adventure', 'Family', 'Fantasy')",,UK,ENGLISH,5.9,160210,2010-02-12,95.0,38.661634,88.76172
tt0815236,She's Out of My League,"('Comedy', 'Romance')",,USA,ENGLISH,6.4,112846,2010-03-12,20.0,9.775278,31.584722
tt0817177,Flipped,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,7.7,72402,2010-09-10,14.0,0.224233,1.752214
tt0817230,Valentine's Day,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,5.7,104192,2010-02-12,52.0,63.135312,110.485654
tt0818098,Dreamkiller,"('Thriller',)",,USA,ENGLISH,5.1,104,2010-02-19,2.5,0.015514,0.015514
tt0831280,Waking Madison,"('Drama',)",,USA,ENGLISH,6.0,1293,,3.5,,
tt0840361,The Town,"('Crime', 'Drama', 'Thriller')",,USA,ENGLISH,7.6,313387,2010-09-17,37.0,23.808032,92.186262
tt0842926,The Kids Are All Right,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,7.0,118811,2010-07-30,3.5,0.491971,20.811365
tt0846004,Gangster Exchange,"('Action',)",,CANADA,ENGLISH,4.6,433,2010-02-19,,,
