Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0136517,Seven Days of Grace,"('Comedy', 'Drama')",PG-13,USA,ENGLISH,4.1,67,2006-04-01,,,
tt0151299,Last Fair Deal,"('Action',)",UNRATED,USA,ENGLISH,5.9,11,2006-03-27,,,
tt0206634,Children of Men,"('Drama', 'Sci-Fi', 'Thriller')",R,USA,ENGLISH,7.9,412084,2007-01-05,76.0,0.179268,35.552383
tt0244521,Funny Money,"('Comedy',)",R,GERMANY,ENGLISH,5.3,2708,2006-03-09,,0.001839,0.001839
tt0251951,Pretty Cool,"('Comedy', 'Sci-Fi')",R,USA,ENGLISH,4.3,425,2006-11-24,,,
tt0259822,.45,"('Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,5.7,7687,2006-11-30,5.0,,
tt0260042,False Prophets,"('Drama',)",R,USA,ENGLISH,6.5,75,2006-05-16,,,
tt0266732,Love Is the Drug,"('Drama',)",R,USA,ENGLISH,5.7,657,,,,
tt0270417,How to Go Out on a Date in Queens,"('Comedy', 'Romance')",R,USA,ENGLISH,4.5,357,2006-07-28,,,
tt0279688,Beyond the Wall of Sleep,"('Horror',)",R,USA,ENGLISH,2.9,1029,2006-06-06,,,
tt0284363,Obsluhoval jsem anglického krále,"('Comedy', 'Drama', 'Romance', 'War')",R,CZECH REPUBLIC,CZECH,7.4,6796,2007-01-11,,0.06846,0.617228
tt0287072,Under Surveillance,"('Horror', 'Mystery', 'Thriller')",R,USA,ENGLISH,4.5,133,,0.031,,
tt0302498,Raising Flagg,"('Comedy',)",PG-13,USA,ENGLISH,5.5,300,2008-04-25,,0.000636,
tt0302545,An Existential Affair,"('Drama', 'Romance')",R,USA,ENGLISH,4.1,44,2006-10-17,2.0,,
tt0308055,Bobby,"('Biography', 'Drama', 'History')",R,USA,ENGLISH,7.0,39681,2006-11-23,14.0,0.069039,11.242801
tt0308353,Happily N'Ever After,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",PG ,USA,ENGLISH,4.5,9341,2007-01-05,47.0,6.608244,15.589393
tt0317219,Cars,"('Animation', 'Comedy', 'Family', 'Sport')",UNRATED,USA,ENGLISH,7.1,311288,2006-06-09,120.0,60.119509,244.082982
tt0317919,Mission: Impossible III,"('Action', 'Adventure', 'Thriller')",PG-13,USA,ENGLISH,6.9,295122,2006-05-05,150.0,47.743273,134.029801
tt0327084,Over the Hedge,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",PG ,USA,ENGLISH,6.7,142797,2006-05-19,80.0,38.457003,155.01934
tt0337609,Detroit,"('Action', 'Crime', 'Drama')",R,USA,ENGLISH,5.3,71,,0.25,,
tt0339086,Goose on the Loose,"('Adventure', 'Comedy', 'Family')",PG ,CANADA,ENGLISH,4.7,114,,,,
tt0340084,The Drop,"('Action', 'Adventure', 'Fantasy', 'Thriller')",R,USA,ENGLISH,2.4,214,2006-06-06,,,
tt0343737,The Good Shepherd,"('Drama', 'History', 'Thriller')",R,USA,ENGLISH,6.7,92655,2006-12-22,90.0,14.14276,59.952835
tt0344854,Arthur and the Invisibles,"('Animation', 'Adventure', 'Family', 'Fantasy')",PG ,FRANCE,ENGLISH,6.0,29320,2007-01-12,86.0,5.702789,15.132763
tt0345228,Open Window,"('Drama',)",R,USA,ENGLISH,6.1,914,,0.9,,
tt0348150,Superman Returns,"('Action', 'Adventure')",PG-13,USA,ENGLISH,6.1,256346,2006-06-28,209.0,52.535096,200.081192
tt0349467,Freedomland,"('Crime', 'Drama', 'Mystery', 'Thriller')",R,USA,ENGLISH,5.1,14412,2006-02-17,37.665,6.707111,12.512886
tt0353248,Full Clip,"('Action', 'Thriller')",R,USA,ENGLISH,3.2,459,2006-03-23,1.0,,
tt0353357,Day of Wrath,"('Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller')",R,UK,ENGLISH,5.6,1630,2006-06-08,12.0,,
tt0354899,The Science of Sleep,"('Comedy', 'Drama', 'Fantasy', 'Romance')",R,FRANCE,FRENCH,7.3,65001,2006-09-29,6.0,0.347925,4.663809
tt0360323,10th & Wolf,"('Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,6.4,5856,2007-04-12,8.0,0.020774,0.053481
tt0362120,Scary Movie 4,"('Comedy',)",PG-13,USA,ENGLISH,5.1,103843,2006-04-14,45.0,40.222875,90.71062
tt0364098,Valentina's Tango,"('Thriller',)",R,USA,ENGLISH,4.2,79,,0.25,,
tt0364745,Whirlygirl,"('Drama', 'Romance')",R,USA,ENGLISH,5.9,1202,2007-03-06,,,
tt0364955,Art School Confidential,"('Comedy', 'Drama')",R,USA,ENGLISH,6.3,15826,2006-05-12,,0.135733,3.296916
tt0365830,Tenacious D in The Pick of Destiny,"('Adventure', 'Comedy', 'Music', 'Musical')",R,USA,ENGLISH,6.8,94433,2006-11-22,,3.234879,8.319186
tt0366548,Happy Feet,"('Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance')",PG ,USA,ENGLISH,6.5,151979,2006-11-17,100.0,41.533432,198.000317
tt0367088,Spymate,"('Adventure', 'Family')",PG ,CANADA,ENGLISH,4.1,949,2006-01-14,,,
tt0367567,Sea of Dreams,"('Drama', 'Fantasy', 'Mystery', 'Romance')",PG ,MEXICO,ENGLISH,6.6,332,2007-09-21,,,
tt0370032,Ultraviolet,"('Action', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,4.4,75330,2006-03-03,30.0,9.06488,18.500966
tt0372975,Holla,"('Horror',)",R,USA,ENGLISH,3.9,186,,0.2,,0.165171
tt0373900,Rampage: The Hillside Strangler Murders,"('Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,4.3,736,2006-01-10,1.0,,
tt0375154,Tristan + Isolde,"('Action', 'Drama', 'Romance', 'War')",PG-13,USA,ENGLISH,6.8,48060,2006-01-13,,7.612008,14.732623
tt0375785,Gray Matters,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,5.8,6426,2007-07-13,,0.025711,0.059619
tt0376994,X-Men: The Last Stand,"('Action', 'Adventure', 'Sci-Fi', 'Thriller')",PG-13,CANADA,ENGLISH,6.7,436260,2006-05-26,210.0,122.861157,234.362462
tt0377061,I'll Believe You,"('Comedy', 'Sci-Fi')",PG ,USA,ENGLISH,5.8,389,2006-11-11,,,
tt0380066,The Woods,"('Horror', 'Mystery', 'Thriller')",R,USA,ENGLISH,5.7,9825,2006-09-26,12.0,,
tt0381061,Casino Royale,"('Action', 'Adventure', 'Thriller')",PG-13,UK,ENGLISH,8.0,524387,2006-11-17,150.0,40.833156,167.44596
tt0381111,Kruistocht in spijkerbroek,"('Adventure', 'Family', 'Fantasy', 'Sci-Fi', 'War')",PG ,NETHERLANDS,ENGLISH,6.1,3292,2006-11-15,,,
tt0381341,Kisses and Caroms,"('Comedy',)",R,USA,ENGLISH,4.7,1290,2006-08-22,,,
tt0381971,Curious George,"('Animation', 'Adventure', 'Comedy', 'Family')",UNRATED,USA,ENGLISH,6.5,14078,2006-02-10,50.0,14.703405,58.640119
tt0382625,The Da Vinci Code,"('Mystery', 'Thriller')",PG-13,USA,ENGLISH,6.6,360658,2006-05-19,125.0,77.073388,217.536138
tt0382765,Jindabyne,"('Crime', 'Drama', 'Mystery', 'Thriller')",R,AUSTRALIA,ENGLISH,6.3,6076,2006-07-20,,0.028298,0.399879
tt0383060,Zoom,"('Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi')",PG ,USA,ENGLISH,4.3,16812,2006-08-11,35.0,4.510408,11.631245
tt0383216,The Pink Panther,"('Adventure', 'Comedy', 'Crime', 'Family', 'Mystery')",PG ,USA,ENGLISH,5.6,73453,2006-02-10,65.0,20.220412,82.226474
tt0383478,Love Comes to the Executioner,"('Comedy', 'Drama', 'Romance')",R,USA,ENGLISH,5.7,838,2006-08-15,,,
tt0383574,Pirates of the Caribbean: Dead Man's Chest,"('Action', 'Adventure', 'Fantasy')",PG-13,USA,ENGLISH,7.3,594433,2006-07-07,225.0,135.634554,423.315812
tt0384537,Silent Hill,"('Horror',)",R,CANADA,ENGLISH,6.6,197630,2006-04-21,,,
tt0384793,Accepted,"('Comedy',)",PG-13,USA,ENGLISH,6.5,114432,2006-08-18,23.0,10.023835,36.323505
tt0384798,Aimee Semple McPherson,"('Biography', 'Drama')",PG ,USA,ENGLISH,5.3,116,,0.005,,
tt0384814,Ask the Dust,"('Drama', 'Romance')",R,USA,ENGLISH,5.8,8691,2006-04-13,,0.068779,0.742614
tt0385726,Glory Road,"('Biography', 'Drama', 'Sport')",PG ,USA,ENGLISH,7.2,38939,2006-01-13,,16.927589,42.643187
tt0385880,Monster House,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery')",PG ,USA,ENGLISH,6.6,85398,2006-07-21,75.0,22.217226,73.66101
tt0385988,Red Riding Hood,"('Adventure', 'Family', 'Musical')",PG ,USA,ENGLISH,3.2,975,2007-02-07,1.6,,
tt0386741,Renaissance,"('Animation', 'Action', 'Sci-Fi', 'Thriller')",R,FRANCE,ENGLISH,6.7,14994,2006-03-15,,0.0108,0.06326
tt0387808,Idiocracy,"('Adventure', 'Comedy', 'Sci-Fi')",R,USA,ENGLISH,6.6,126998,2007-01-25,,0.177559,0.438653
tt0387877,The Black Dahlia,"('Crime', 'Drama', 'Mystery', 'Thriller')",R,GERMANY,ENGLISH,5.6,67264,2006-09-15,50.0,10.005895,22.518325
tt0388288,My First Wedding,"('Comedy', 'Romance')",PG-13,CANADA,ENGLISH,4.9,1001,2007-03-15,,,
tt0389360,Sea of Fear,"('Horror',)",PG-13,USA,ENGLISH,2.7,554,2006-08-22,2.0,,
tt0389557,Black Book,"('Drama', 'Thriller', 'War')",R,NETHERLANDS,DUTCH,7.8,66632,2007-05-18,21.0,0.112521,4.398392
tt0389860,Click,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,6.4,275393,2006-06-23,70.0,40.011365,137.355633
tt0393297,Forget About It,"('Comedy', 'Drama')",PG-13,USA,ENGLISH,4.5,418,2006-10-14,4.0,,
tt0393567,The Other Side,"('Action', 'Thriller')",R,USA,ENGLISH,5.4,1362,,0.015,,
tt0393735,The Shaggy Dog,"('Comedy', 'Family', 'Fantasy')",PG ,USA,ENGLISH,4.4,16612,2006-03-10,50.0,16.310058,61.123569
tt0395495,Catch and Release,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,6.0,21088,2007-01-26,,7.658898,15.269668
tt0396171,Perfume: The Story of a Murderer,"('Crime', 'Drama', 'Fantasy')",R,GERMANY,ENGLISH,7.5,212773,2007-01-05,,0.055527,2.223293
tt0396476,Backwaters,"('Drama', 'Thriller')",R,UK,ENGLISH,5.1,88,,,,
tt0397078,Just My Luck,"('Comedy', 'Fantasy', 'Romance')",PG-13,USA,ENGLISH,5.4,49457,2006-05-12,28.0,5.692285,17.324744
tt0397105,Dirty Work,"('Thriller',)",R,USA,ENGLISH,5.2,257,2006-09-12,,,
tt0397313,Eight Below,"('Adventure', 'Drama', 'Family')",PG ,USA,ENGLISH,7.3,54770,2006-02-17,40.0,24.968601,81.612565
