Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0122247,Serial Killing 4 Dummys,"('Comedy', 'Horror', 'Mystery', 'Thriller')",R,USA,ENGLISH,5.3,701,2004-03-30,,,
tt0167190,Hellboy,"('Action', 'Fantasy', 'Horror', 'Sci-Fi')",PG-13,USA,ENGLISH,6.9,275747,2004-04-02,66.0,23.17244,59.623958
tt0167456,Thunderbirds,"('Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi')",PG ,UK,ENGLISH,4.2,12179,2004-07-30,57.0,2.76681,6.768055
tt0204313,Exorcist: The Beginning,"('Horror', 'Mystery', 'Thriller')",R,USA,ENGLISH,5.1,30923,2004-08-20,50.0,18.054001,41.821986
tt0212712,2046,"('Drama', 'Romance', 'Sci-Fi')",R,HONG KONG,CANTONESE,7.5,45817,2004-09-29,12.0,0.113074,0.261481
tt0223828,Off the Lip,"('Adventure', 'Comedy', 'Sport')",R,USA,ENGLISH,5.4,69,2004-05-07,,0.00044,0.014773
tt0224025,Wild Roomies,"('Comedy', 'Drama', 'Romance')",R,USA,ENGLISH,4.2,990,2004-06-04,0.4,0.00112,
tt0229792,True Vinyl,"('Drama', 'Romance', 'Music')",PG-13,USA,ENGLISH,5.9,111,2004-12-29,,,
tt0241025,Vanity Fair,"('Drama',)",PG-13,USA,ENGLISH,6.2,18939,2004-09-01,23.0,6.268925,16.136476
tt0246404,The 24th Day,"('Thriller',)",R,USA,ENGLISH,6.6,3311,2004-05-06,1.0,0.002001,0.014107
tt0251179,Larceny,"('Comedy',)",R,USA,ENGLISH,4.2,190,2004-03-02,,,
tt0252028,Surviving Christmas,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,5.4,19762,2004-10-22,45.0,4.441356,11.663156
tt0258534,Dorian,"('Horror', 'Thriller')",UNRATED,UK,ENGLISH,3.8,560,2004-02-17,,,
tt0259567,Perfect Opposites,"('Drama', 'Romance')",PG-13,USA,ENGLISH,5.6,1280,2005-04-07,,,
tt0264410,Berserker,"('Action', 'Adventure', 'Fantasy', 'War')",R,SOUTH AFRICA,ENGLISH,3.4,390,,,,
tt0265208,The Girl Next Door,"('Comedy', 'Drama', 'Romance')",R,USA,ENGLISH,6.7,186251,2004-04-09,25.0,0.003184,14.589444
tt0270841,Cyber Wars,"('Action', 'Drama', 'Sci-Fi', 'Thriller')",PG-13,SINGAPORE,ENGLISH,4.5,582,2006-04-11,3.6,,
tt0270846,Superbabies: Baby Geniuses 2,"('Comedy', 'Family', 'Sci-Fi')",PG ,GERMANY,ENGLISH,2.0,27961,2004-08-27,20.0,3.251856,9.109322
tt0273108,The Beautiful Country,"('Drama',)",R,NORWAY,VIETNAMESE,7.5,3519,2004-03-13,6.0,0.0259,0.442612
tt0274024,Quiet Kill,"('Crime', 'Romance', 'Thriller')",R,USA,ENGLISH,3.7,179,2004-07-01,,,
tt0275491,Bad Education,"('Crime', 'Drama')",NC-17,SPAIN,SPANISH,7.5,50107,2005-02-11,5.0,0.14737,5.211842
tt0276830,Renegade,"('Adventure', 'Western')",R,FRANCE,ENGLISH,5.2,9791,2004-02-11,,,
tt0277895,Mickey,"('Drama', 'Sport')",PG ,USA,ENGLISH,6.7,392,2004-04-30,6.0,0.075235,0.293793
tt0285624,"Vendetta: No Conscience, No Mercy","('Crime', 'Drama', 'Action')",R,USA,ENGLISH,4.6,246,2004-07-22,,,
tt0286218,Thérèse: The Story of Saint Thérèse of Lisieux,"('Biography', 'Drama')",PG ,USA,ENGLISH,6.4,431,2004-10-29,,0.357,0.101944
tt0287733,Straight Into Darkness,"('Action', 'Drama', 'Horror', 'War')",R,USA,ENGLISH,5.1,1214,,,,
tt0287795,Killer Weekend,"('Mystery', 'Thriller')",R,USA,ENGLISH,3.8,96,2004-02-10,0.2,,
tt0288896,A Year in the Death of Jack Richards,"('Drama',)",UNRATED,CANADA,ENGLISH,6.1,31,2006-02-23,,,
tt0289879,The Butterfly Effect,"('Sci-Fi', 'Thriller')",R,USA,ENGLISH,7.7,407206,2004-01-23,13.0,17.065227,57.938693
tt0290002,Meet the Fockers,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,6.3,232529,2004-12-22,80.0,46.12098,279.26116
tt0290218,Illusion,"('Drama', 'Romance')",PG-13,USA,ENGLISH,7.1,360,,,,
tt0293508,The Phantom of the Opera,"('Drama', 'Musical', 'Romance', 'Thriller')",PG-13,UK,ENGLISH,7.3,107061,2004-12-22,70.0,4.00189,51.268815
tt0296572,The Chronicles of Riddick,"('Action', 'Adventure', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,6.7,200216,2004-06-11,105.0,24.289165,57.761012
tt0296766,Inheritance,"('Drama', 'Horror', 'Thriller')",R,USA,ENGLISH,4.7,247,2004-12-28,,,
tt0297012,Bandido,"('Adventure', 'Action', 'Thriller', 'Romance')",R,MEXICO,ENGLISH,5.2,85,2004-12-10,2.4,0.040064,1.398
tt0297284,Mindhunters,"('Crime', 'Horror', 'Mystery', 'Thriller')",R,NETHERLANDS,ENGLISH,6.4,54027,2005-05-13,27.0,1.911358,4.480744
tt0297389,Poster Boy,"('Drama',)",R,USA,ENGLISH,6.2,1251,2004-05-08,,0.003806,0.061408
tt0298120,Purgatory House,"('Drama',)",R,USA,ENGLISH,6.2,433,2003-09-20,,,
tt0298148,Shrek 2,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance')",PG ,USA,ENGLISH,7.2,363088,2004-05-19,150.0,108.037878,436.471036
tt0299014,Lucky,"('Comedy', 'Fantasy', 'Horror')",R,USA,ENGLISH,5.5,440,2004-04-15,,,
tt0299172,Home on the Range,"('Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Western')",PG ,USA,ENGLISH,5.4,16732,2004-04-02,110.0,13.880771,50.030461
tt0300051,Jersey Girl,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,6.2,59053,2004-03-26,35.0,8.319171,25.266129
tt0300176,Dog Gone Love,"('Comedy', 'Romance')",R,USA,LATIN,5.1,159,2004-09-21,,,
tt0300270,The Holy Girl,"('Drama',)",R,ARGENTINA,SPANISH,6.7,3172,2004-05-06,1.4,0.028327,0.304124
tt0301358,Crazy Like a Fox,"('Drama', 'Comedy')",PG-13,USA,ENGLISH,5.8,124,2004-10-25,,0.004667,0.009376
tt0301771,Our Italian Husband,"('Comedy',)",PG-13,ITALY,ENGLISH,4.3,278,2006-04-21,,,
tt0304141,Harry Potter and the Prisoner of Azkaban,"('Adventure', 'Family', 'Fantasy', 'Mystery')",PG ,UK,ENGLISH,7.9,461406,2004-06-04,130.0,93.687367,249.358727
tt0304722,Skinned Deep,"('Comedy', 'Horror')",R,USA,ENGLISH,3.9,1418,2004-02-14,,,
tt0305632,Fascination,"('Drama', 'Mystery', 'Romance', 'Thriller')",R,GERMANY,ENGLISH,3.4,1274,2004-10-14,5.0,0.009018,0.016066
tt0306892,George and the Dragon,"('Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance')",PG ,UK,ENGLISH,5.7,3325,,32.0,,
tt0307453,Shark Tale,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",PG ,USA,ENGLISH,6.0,149443,2004-10-01,75.0,47.604606,160.861908
tt0307879,Burning Annie,"('Comedy', 'Drama', 'Romance')",UNRATED,USA,ENGLISH,5.6,262,2003-03-08,,,
tt0308644,Finding Neverland,"('Biography', 'Drama', 'Family')",PG ,USA,ENGLISH,7.7,187724,2004-12-17,25.0,0.220524,51.680613
tt0309531,Downtown: A Street Tale,"('Drama',)",R,USA,ENGLISH,5.9,70,2007-04-20,,,
tt0312329,Against the Ropes,"('Biography', 'Drama', 'Romance', 'Sport')",PG-13,USA,ENGLISH,5.3,6309,2004-02-20,39.0,3.038546,5.88419
tt0313013,Nursie,"('Horror', 'Thriller')",R,USA,ENGLISH,6.3,561,2005-10-04,,,
tt0313245,Back by Midnight,"('Comedy',)",R,USA,ENGLISH,4.9,423,2005-01-25,,,
tt0313300,The Blue Butterfly,"('Drama', 'Adventure')",PG ,CANADA,ENGLISH,6.3,1417,2004-08-26,,,
tt0314063,Immortal,"('Animation', 'Action', 'Crime', 'Drama', 'Sci-Fi')",R,FRANCE,ENGLISH,6.0,19406,2004-03-24,,,
tt0314498,The Perfect Score,"('Comedy', 'Crime')",PG-13,USA,ENGLISH,5.7,21644,2004-01-30,40.0,4.873819,10.387706
tt0314803,Tropix,"('Adventure', 'Crime', 'Thriller')",R,COSTA RICA,ENGLISH,3.8,104,,,,
tt0315206,Ball & Chain,"('Comedy', 'Drama', 'Romance')",UNRATED,USA,ENGLISH,4.9,550,2004-05-14,3.2,0.120735,2.257087
tt0315273,Benji: Off the Leash!,"('Drama', 'Family')",PG ,USA,ENGLISH,4.7,484,2004-08-20,,1.512,3.817362
tt0315297,Twisted,"('Crime', 'Drama', 'Mystery', 'Thriller')",R,GERMANY,ENGLISH,5.2,18666,2004-02-27,50.0,8.904299,25.19505
tt0315824,The Big Bounce,"('Comedy', 'Crime')",PG-13,USA,ENGLISH,4.9,16843,2004-01-30,50.0,3.336374,6.471394
tt0316654,Spider-Man 2,"('Action', 'Adventure', 'Sci-Fi')",PG-13,USA,ENGLISH,7.3,479850,2004-06-30,200.0,115.817364,373.585825
