Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0120667,Fantastic Four,"('Action', 'Adventure', 'Fantasy', 'Sci-Fi')",PG-13,USA,ENGLISH,5.7,290342,2005-07-08,100.0,56.061504,154.69608
tt0121164,Corpse Bride,"('Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance')",PG ,USA,ENGLISH,7.4,216305,2005-09-23,40.0,0.385078,53.359111
tt0121766,Star Wars: Episode III - Revenge of the Sith,"('Action', 'Adventure', 'Fantasy', 'Sci-Fi')",PG-13,USA,ENGLISH,7.6,614975,2005-05-19,113.0,108.435841,380.262555
tt0135986,Mort,"('Comedy', 'Drama', 'Romance', 'Sport')",UNRATED,USA,ENGLISH,5.4,9,2005-10-21,0.033,,
tt0161021,Pure,,R,USA,ENGLISH,8.2,16,2005-06-10,,0.005154,0.102009
tt0179803,Angels with Angles,"('Comedy',)",PG ,USA,ENGLISH,5.6,116,2005-12-16,1.5,,
tt0216584,Bob the Butler,"('Comedy', 'Family')",PG ,CANADA,ENGLISH,5.7,3495,2012-01-14,,,
tt0216746,Bad Girls from Valley High,"('Comedy',)",R,USA,ENGLISH,3.4,1576,2005-03-22,,,
tt0222167,Lucky 13,"('Comedy', 'Romance')",R,USA,ENGLISH,4.8,981,,1.2,,
tt0238992,Fortunes,"('Comedy',)",R,USA,ENGLISH,4.5,114,2005-12-20,,,
tt0240200,Water,"('Drama', 'Romance')",PG-13,CANADA,HINDI,7.8,13442,2006-05-26,,0.05628,3.222857
tt0243462,Mee-Shee: The Water Giant,"('Adventure', 'Family', 'Fantasy')",PG ,UK,ENGLISH,5.3,635,2007-08-17,27.0,,
tt0257516,Cursed,"('Comedy', 'Horror')",PG-13,GERMANY,ENGLISH,5.0,28277,2005-02-25,38.0,9.633085,19.297522
tt0258901,The Luau,,R,USA,ENGLISH,5.8,80,2005-03-10,,,
tt0264323,2001 Maniacs,"('Comedy', 'Horror')",R,USA,ENGLISH,5.4,11135,2006-07-13,3.0,,
tt0267891,The Ringer,"('Comedy', 'Sport')",PG-13,USA,ENGLISH,5.8,33144,2005-12-23,,7.702439,35.424335
tt0285175,Havoc,"('Crime', 'Drama')",R,USA,ENGLISH,5.5,17196,2005-10-16,9.0,,
tt0285682,Alchemy,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,5.4,494,2005-04-25,,,
tt0290747,Man-Thing,"('Action', 'Adventure', 'Horror', 'Romance', 'Sci-Fi')",R,USA,ENGLISH,4.0,5401,2005-04-21,30.0,,0.143615
tt0294806,The Keeper: The Legend of Omar Khayyam,"('Adventure', 'Drama', 'Family')",PG ,USA,PERSIAN,6.9,615,2005-06-10,,0.00731,0.224512
tt0294870,Rent,"('Drama', 'Musical', 'Romance')",PG-13,USA,ENGLISH,7.0,45331,2005-11-23,40.0,10.016021,29.077547
tt0295590,The Pirate's Curse,"('Action', 'Adventure', 'Romance', 'Thriller')",PG-13,USA,ENGLISH,3.5,106,2005-03-17,,,
tt0295605,Going Shopping,"('Drama', 'Romance')",PG-13,USA,ENGLISH,5.0,122,2005-09-30,,0.006691,
tt0298903,Heidi,"('Animation', 'Comedy', 'Family')",UNRATED,UK,GERMAN,5.7,38,2005-12-22,,,
tt0299135,The Civilization of Maxwell Bright,"('Drama',)",R,USA,ENGLISH,6.6,459,2007-09-28,,,
tt0299215,Wheelmen,"('Comedy',)",R,USA,ENGLISH,4.2,95,2005-06-03,,,
tt0300922,All Babes Want to Kill Me,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,4.5,1722,2006-07-04,,0.00225,
tt0301036,Black Wine,"('Thriller',)",UNRATED,USA,ENGLISH,4.5,178,2005-10-21,,,
tt0301265,Dark Assassin,"('Action', 'Thriller')",R,USA,ENGLISH,3.6,239,2005-11-07,,,
tt0304356,Love Thy Neighbor,"('Comedy', 'Drama', 'Mystery', 'Thriller')",R,USA,ENGLISH,4.8,80,2005-09-03,,,
tt0305858,Funny Valentine,"('Comedy', 'Romance')",R,USA,ENGLISH,4.6,123,2005-02-04,,,
tt0309578,Extreme Dating,"('Action', 'Romance', 'Comedy')",R,USA,ENGLISH,5.3,948,2006-02-14,2.5,,
tt0310243,Tracks,"('Drama', 'Crime')",R,USA,ENGLISH,4.9,248,2005-09-09,,,
tt0312004,The Curse of the Were-Rabbit,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi')",UNRATED,UK,ENGLISH,7.5,111496,2005-10-07,30.0,16.025987,56.110897
tt0315323,Break a Leg,"('Comedy', 'Drama', 'Thriller')",R,USA,ENGLISH,5.1,224,2005-04-21,,,
tt0315431,Constellation,"('Drama',)",PG-13,USA,ENGLISH,3.5,491,2007-02-02,7.2,0.215801,0.306533
tt0317132,Because of Winn-Dixie,"('Comedy', 'Drama', 'Family')",PG ,USA,ENGLISH,6.4,9413,2005-02-18,14.0,13.218723,32.645546
tt0318081,A Sound of Thunder,"('Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller')",PG-13,CZECH REPUBLIC,ENGLISH,4.2,17782,2005-09-02,80.0,1.190791,1.891821
tt0318649,Sahara,"('Action', 'Adventure', 'Comedy', 'Thriller')",PG-13,UK,ENGLISH,6.0,84635,2005-04-08,130.0,18.068372,68.671925
tt0318761,Thumbsucker,"('Comedy', 'Drama')",R,USA,ENGLISH,6.6,19829,2005-10-07,4.0,0.085327,1.325073
