Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0211933,Awake,"('Crime', 'Drama', 'Mystery', 'Thriller')",R,USA,ENGLISH,6.5,68395,2007-11-30,8.6,5.856872,14.377198
tt0213985,Partition,"('Drama', 'Romance')",R,CANADA,ENGLISH,7.0,2357,2007-02-02,10.0,,
tt0227671,Tortilla Heaven,"('Comedy',)",PG-13,USA,ENGLISH,5.5,349,2008-10-14,,0.073452,0.104999
tt0259324,Ghost Rider,"('Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller')",PG-13,USA,ENGLISH,5.2,203477,2007-02-16,110.0,52.022908,115.802596
tt0275236,The Bros.,"('Comedy', 'Music')",R,USA,ENGLISH,3.6,227,2007-02-20,,,
tt0283503,Brooklyn Rules,"('Crime', 'Drama')",R,USA,ENGLISH,6.4,5261,2009-05-28,8.0,0.041811,0.39842
tt0292963,Before the Devil Knows You're Dead,"('Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,7.3,88546,2007-10-26,18.0,0.073837,7.083025
tt0293564,Rush Hour 3,"('Action', 'Comedy', 'Crime', 'Thriller')",PG-13,USA,ENGLISH,6.2,136680,2007-08-10,140.0,49.100158,140.125968
tt0306947,Along the Way,"('Drama',)",R,USA,ENGLISH,6.8,249,2007-10-01,1.2,,
tt0329354,Marigold,"('Comedy',)",PG-13,USA,ENGLISH,5.0,1705,2007-08-17,,,
tt0337978,Live Free or Die Hard,"('Action', 'Adventure', 'Thriller')",PG-13,USA,ENGLISH,7.1,363530,2007-06-27,110.0,33.369559,134.529403
tt0338216,Lucky You,"('Drama', 'Romance', 'Sport')",PG-13,USA,ENGLISH,5.9,19285,2007-05-04,55.0,2.710445,5.755286
tt0345601,Machine,"('Crime', 'Drama')",R,USA,ENGLISH,2.9,445,2007-03-06,,,
tt0354578,Fighting Words,"('Drama', 'Romance')",R,USA,ENGLISH,6.5,172,2007-04-06,2.5,0.009753,0.035081
tt0365880,Uncle P,"('Comedy',)",PG ,USA,ENGLISH,3.7,458,2007-06-26,1.45,,
tt0367959,Hannibal Rising,"('Adventure', 'Crime', 'Drama', 'Thriller', 'War')",R,UK,ENGLISH,6.2,95404,2007-02-09,50.0,13.05165,27.670986
tt0368794,I'm Not There.,"('Biography', 'Drama', 'Music', 'Western')",R,GERMANY,ENGLISH,7.0,52684,2007-12-07,20.0,0.730819,4.017609
tt0372873,Dragon Wars: D-War,"('Action', 'Drama', 'Fantasy', 'Horror', 'Thriller')",PG-13,SOUTH KOREA,ENGLISH,3.6,22479,2007-09-14,35.0,5.041239,10.977721
tt0373883,Halloween,"('Fantasy', 'Horror')",R,USA,ENGLISH,6.1,97915,2007-08-31,15.0,30.591759,58.272029
