Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0331314,Bunyan and Babe,"('Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy')",,USA,ENGLISH,5.0,268,2017-01-12,,,
tt0451279,Wonder Woman,"('Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War')",PG-13,HONG KONG,ENGLISH,7.5,439729,2017-06-02,149.0,103.251471,412.563408
tt0460890,The Only Living Boy in New York,"('Drama',)",,USA,ENGLISH,6.3,7213,2017-08-11,,0.054458,0.624332
tt0491175,Suburbicon,"('Crime', 'Drama', 'Mystery', 'Thriller')",,UK,ENGLISH,5.6,26302,2017-10-27,25.0,2.840246,5.775178
tt0491203,Tulip Fever,"('Drama', 'History', 'Romance')",,UK,ENGLISH,6.2,12610,2017-09-01,25.0,,2.425664
tt0493405,CHIPS,"('Action', 'Comedy', 'Crime')",,USA,ENGLISH,6.0,32989,2017-03-24,25.0,7.722802,18.591819
tt0498381,Rings,"('Drama', 'Horror', 'Romance')",PG-13,USA,ENGLISH,4.5,31672,2017-02-03,25.0,13.002632,27.780085
tt0835802,Krystal,"('Comedy', 'Drama')",,USA,ENGLISH,4.9,391,2018-04-13,,,0.037516
tt0974015,Justice League,"('Action', 'Adventure', 'Fantasy', 'Sci-Fi')",PG-13,UK,ENGLISH,6.6,287512,2017-11-17,300.0,93.842239,229.024295
tt1024855,Gunned Down,"('Action', 'Thriller')",,UK,ENGLISH,5.2,627,2017-07-17,,,
tt1107262,Intent,"('Crime', 'Drama', 'Thriller')",UNRATED,ALBANIA,ENGLISH,7.9,30,,,,
tt1131724,2:22,"('Thriller',)",PG-13,AUSTRALIA,ENGLISH,5.7,14522,2017-06-30,,,
tt1219827,Ghost in the Shell,"('Action', 'Drama', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,6.4,161578,2017-03-31,110.0,18.676033,40.533014
tt1230168,Same Kind of Different as Me,"('Drama',)",PG-13,USA,ENGLISH,6.5,3180,2017-10-20,15.0,2.591985,6.423605
tt1291566,The Vanishing of Sidney Hall,"('Drama', 'Mystery')",,USA,ENGLISH,6.9,5585,2018-03-02,,,
tt1293847,xXx: Return of Xander Cage,"('Action', 'Adventure', 'Thriller')",PG-13,USA,ENGLISH,5.2,73176,2017-01-20,85.0,20.130142,44.898413
tt1389072,Downsizing,"('Drama', 'Sci-Fi')",,USA,ENGLISH,5.7,61648,2017-12-22,68.0,4.954287,24.449754
tt1396484,It,"('Drama', 'Horror', 'Thriller')",,USA,ENGLISH,7.4,310014,2017-09-08,35.0,123.403419,327.481748
tt1412528,Table 19,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,5.8,20569,2017-03-03,5.0,1.597928,3.606977
tt1458169,Kidnap,"('Action', 'Crime', 'Drama', 'Mystery', 'Thriller')",,USA,ENGLISH,5.9,26398,2017-08-04,21.0,10.016323,30.718107
tt1469304,Baywatch,"('Action', 'Comedy', 'Crime')",,UK,ENGLISH,5.6,117875,2017-05-25,69.0,18.503871,58.060186
tt1485796,The Greatest Showman,"('Biography', 'Drama', 'Musical')",,USA,ENGLISH,7.7,157452,2017-12-20,84.0,8.805843,174.340174
tt1492705,All I Wish,"('Comedy', 'Drama', 'Romance')",UNRATED,USA,ENGLISH,5.1,637,2018-03-30,,,
tt1507571,The Tribes of Palos Verdes,"('Drama',)",,USA,ENGLISH,5.7,1164,2017-12-01,,0.000796,0.004651
tt1544608,Voice from the Stone,"('Drama', 'Mystery', 'Thriller')",,USA,ENGLISH,5.2,7771,2017-04-28,,,
tt1615160,The Foreigner,"('Action', 'Crime', 'Drama', 'Mystery', 'Thriller')",,UK,ENGLISH,7.0,72115,2017-10-13,35.0,13.113024,34.393507
tt1648190,The Dark Tower,"('Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi', 'Western')",PG-13,USA,ENGLISH,5.7,97960,2017-08-04,60.0,19.153698,50.701325
tt1653665,Goodbye Christopher Robin,"('Biography', 'Drama')",,UK,ENGLISH,7.1,15702,2017-09-29,,0.057917,1.735251
tt1666185,All Eyez on Me,"('Biography', 'Drama', 'Music')",,USA,ENGLISH,5.8,17000,2017-06-16,,26.435354,44.922302
tt1667321,On Chesil Beach,"('Drama', 'Music', 'Romance')",,UK,ENGLISH,6.3,3758,2018-05-18,,0.035765,0.745971
tt1691916,Before I Fall,"('Drama', 'Fantasy', 'Mystery')",PG-13,USA,ENGLISH,6.4,34939,2017-03-03,5.0,4.690214,12.230791
tt1720621,Trafficked,"('Drama', 'Thriller')",,USA,ENGLISH,5.3,629,2017-10-06,,,
tt1724970,Beyond Skyline,"('Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller')",,UK,ENGLISH,5.3,13439,2017-12-15,,0.376207,0.992181
tt1730768,The Zookeeper's Wife,"('Biography', 'Drama', 'History', 'War')",PG-13,CZECH REPUBLIC,ENGLISH,7.0,27990,2017-04-07,20.0,3.288835,17.445186
tt1734493,Unlocked,"('Action', 'Drama', 'Mystery', 'Thriller')",,CZECH REPUBLIC,ENGLISH,6.2,20566,2017-05-05,,,
tt1753383,A Dog's Purpose,"('Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy')",,USA,ENGLISH,7.0,47524,2017-01-27,22.0,18.22281,64.50862
tt1758810,The Snowman,"('Crime', 'Drama', 'Mystery', 'Thriller')",,UK,ENGLISH,5.1,42237,2017-10-20,35.0,3.372565,6.670765
tt1781058,Wilson,"('Comedy', 'Drama')",,USA,ENGLISH,5.8,8282,2017-03-24,,0.336227,0.652997
tt1785288,An Ordinary Man,"('Drama', 'Thriller', 'War')",,SERBIA,ENGLISH,5.3,965,2018-04-13,6.0,,
