Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0069049,The Other Side of the Wind,"('Comedy', 'Drama')",,FRANCE,ENGLISH,7.4,205,2018-11-02,,,
tt0427543,A Million Little Pieces,"('Drama',)",,USA,ENGLISH,8.2,82,2018-09-10,,,
tt0859635,Super Troopers 2,"('Comedy', 'Crime', 'Mystery')",,USA,ENGLISH,6.1,14796,2018-04-20,13.5,15.181624,30.617396
tt1034415,Suspiria,"('Fantasy', 'Horror', 'Mystery', 'Thriller')",,ITALY,GERMAN,6.4,833,2018-10-26,,,
tt1072748,Winchester,"('Biography', 'Fantasy', 'Horror', 'Mystery', 'Thriller')",PG-13,AUSTRALIA,ENGLISH,5.4,18663,2018-02-02,3.5,9.307626,25.091816
tt1137450,Death Wish,"('Action', 'Crime', 'Drama', 'Thriller')",,USA,ENGLISH,6.4,37752,2018-03-02,30.0,13.010267,34.017028
tt1213641,First Man,"('Biography', 'Drama', 'History')",PG-13,USA,ENGLISH,6.6,3764,2018-10-12,60.0,,
tt1226837,Beautiful Boy,"('Biography', 'Drama')",,USA,ENGLISH,7.3,572,2018-10-12,,,
tt1235187,Where Hands Touch,"('Drama', 'Romance', 'War')",PG-13,UK,ENGLISH,4.9,113,2018-09-14,,0.067743,0.067743
tt1259528,Den of Thieves,"('Action', 'Crime', 'Drama', 'Mystery', 'Thriller')",,USA,ENGLISH,7.0,53184,2018-01-19,30.0,15.206108,44.947622
tt1270797,Venom,"('Action', 'Sci-Fi')",UNRATED,USA,ENGLISH,7.1,64324,2018-10-05,100.0,80.255756,98.115709
tt1273221,London Fields,"('Crime', 'Mystery', 'Thriller')",,UK,ENGLISH,5.4,149,2018-10-26,8.0,,
tt1285009,The Strangers: Prey at Night,"('Horror',)",,UK,ENGLISH,5.2,16336,2018-03-09,,10.402271,24.431472
tt1308728,The Happytime Murders,"('Action', 'Comedy', 'Crime', 'Mystery', 'Thriller')",,USA,ENGLISH,5.1,6416,2018-08-24,40.0,9.532425,20.706452
tt1365519,Tomb Raider,"('Action', 'Adventure', 'Fantasy', 'Thriller')",PG-13,UK,ENGLISH,6.4,132253,2018-03-16,94.0,23.633317,57.421715
tt1413492,12 Strong,"('Action', 'Drama', 'History', 'War')",UNRATED,USA,ENGLISH,6.6,38653,2018-01-19,,15.815025,45.495662
tt1477834,Aquaman,"('Action', 'Adventure', 'Fantasy', 'Sci-Fi')",PG-13,AUSTRALIA,ENGLISH,,0,2018-12-21,160.0,,
tt1502407,Halloween,"('Horror', 'Thriller')",,USA,ENGLISH,8.0,1748,2018-10-19,10.0,,
tt1517451,A Star Is Born,"('Drama', 'Music', 'Romance')",,USA,ENGLISH,8.5,32147,2018-10-05,,42.908051,57.056165
tt1563742,Overboard,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,5.9,16736,2018-05-04,12.0,14.711101,50.316123
