Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0122132,You're Killing Me...,"('Action', 'Comedy', 'Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,4.8,250,,,,
tt0135991,Dominator,"('Animation', 'Comedy', 'Sci-Fi')",UNRATED,UK,ENGLISH,4.5,113,2003-05-21,,,
tt0138524,Intolerable Cruelty,"('Comedy', 'Crime', 'Romance')",PG-13,USA,ENGLISH,6.3,83515,2003-10-10,60.0,12.525075,35.327628
tt0142634,Nobody Knows Anything!,"('Comedy',)",R,USA,ENGLISH,3.5,515,,,,
tt0157191,One Last Dance,"('Drama', 'Romance')",UNRATED,CANADA,ENGLISH,5.7,1281,2004-11-12,16.0,,
tt0159365,Cold Mountain,"('Adventure', 'Drama', 'History', 'Romance', 'War')",R,UK,ENGLISH,7.2,129159,2003-12-25,79.0,14.574213,95.636509
tt0165982,Sinbad: Legend of the Seven Seas,"('Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Romance')",PG ,USA,ENGLISH,6.7,42739,2003-07-02,60.0,6.874477,26.483452
tt0167260,The Lord of the Rings: The Return of the King,"('Action', 'Adventure', 'Drama', 'Fantasy')",PG-13,NEW ZEALAND,ENGLISH,8.9,1426333,2003-12-17,94.0,72.629713,377.845905
tt0172156,Bad Boys II,"('Action', 'Comedy', 'Crime', 'Drama', 'Thriller')",R,USA,ENGLISH,6.6,199841,2003-07-18,130.0,46.52256,138.608444
tt0181852,Terminator 3: Rise of the Machines,"('Action', 'Sci-Fi')",R,USA,ENGLISH,6.3,340081,2003-07-02,200.0,44.04144,150.371112
tt0191133,The Fighting Temptations,"('Comedy', 'Drama', 'Music', 'Romance')",PG-13,USA,ENGLISH,5.5,6258,2003-09-19,15.0,11.758372,30.238577
tt0191211,Jersey Guy,"('Comedy', 'Drama')",R,USA,ENGLISH,5.0,37,2003-04-25,,,
tt0192788,Where the Red Fern Grows,"('Drama', 'Family')",PG ,USA,ENGLISH,6.5,931,2003-05-03,,,
tt0197996,Vampires Anonymous,"('Comedy',)",R,USA,ENGLISH,5.3,393,2003-10-28,,,
tt0199626,In the Cut,"('Mystery', 'Thriller')",R,UK,ENGLISH,5.3,20107,2003-10-31,12.0,0.097625,4.750602
tt0201934,Sister Blue,"('Drama', 'Thriller')",UNRATED,CANADA,LATIN,4.6,66,2003-08-29,0.5,,
tt0203536,A Good Night to Die,"('Action', 'Comedy', 'Thriller')",R,USA,ENGLISH,4.8,464,2003-05-03,,,
tt0217319,Chasing Holden,"('Crime', 'Drama')",R,CANADA,ENGLISH,5.2,440,2003-01-20,,,
tt0220343,Briar Patch,"('Drama', 'Romance', 'Thriller')",R,USA,ENGLISH,4.3,1250,2003-01-20,,,
tt0222812,Beyond Re-Animator,"('Comedy', 'Horror', 'Sci-Fi')",R,SPAIN,ENGLISH,5.9,9787,2003-07-25,3.0,,
tt0228301,Finding Home,"('Drama', 'Romance')",PG-13,USA,ENGLISH,5.8,512,2005-04-29,,,
tt0232537,Road Kings,"('Action', 'Drama')",R,USA,ENGLISH,6.2,70,2003-07-03,1.0,,
tt0234215,The Matrix Reloaded,"('Action', 'Sci-Fi')",R,USA,ENGLISH,7.2,464985,2003-05-15,150.0,91.774413,281.492479
tt0237152,The Deserter,"('Comedy', 'Drama', 'History', 'War')",UNRATED,USA,ENGLISH,7.1,39,2003-10-18,0.035,,
tt0238205,The $cheme,"('Comedy',)",R,USA,ENGLISH,2.1,241,2003-11-18,,,
tt0242653,The Matrix Revolutions,"('Action', 'Sci-Fi')",R,USA,ENGLISH,6.7,403435,2003-11-05,150.0,48.475154,139.313948
tt0242888,The Sleeping Dictionary,"('Drama', 'Romance')",R,UK,ENGLISH,6.6,7607,2003-01-31,12.0,,
tt0245803,Bulletproof Monk,"('Action', 'Comedy', 'Fantasy', 'Romance')",PG-13,USA,ENGLISH,5.5,45176,2003-04-16,52.0,8.653542,23.020488
tt0248110,The Invitation,"('Drama', 'Thriller', 'Horror')",R,CANADA,ENGLISH,4.5,526,2003-12-23,,,
tt0249498,Escape from Cuba,"('Drama', 'Action')",PG-13,USA,ENGLISH,6.3,126,2003-11-18,0.75,,
tt0250023,Tapped Out,"('Action', 'Crime')",R,USA,ENGLISH,5.5,34,2003-11-01,,,
tt0250638,PTU,"('Crime', 'Drama', 'Thriller')",R,HONG KONG,CANTONESE,6.9,3578,2003-04-17,,,
tt0251127,How to Lose a Guy in 10 Days,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,6.4,183107,2003-02-07,50.0,23.77485,105.813373
tt0251677,Cuban Blood,"('Drama', 'Comedy')",PG-13,GERMANY,ENGLISH,6.1,513,2006-01-27,,,
tt0251736,House of 1000 Corpses,"('Horror',)",R,USA,ENGLISH,6.1,67405,2003-04-11,7.0,3.460666,12.634962
tt0255623,Subterano,"('Horror', 'Sci-Fi')",R,AUSTRALIA,ENGLISH,4.2,572,2003-01-28,,,
tt0256400,Sometimes a Hero,"('Action', 'Crime', 'Drama', 'Thriller')",R,CANADA,ENGLISH,5.1,59,2003-03-18,,,
tt0257076,S.W.A.T.,"('Action', 'Adventure', 'Crime', 'Thriller')",PG-13,USA,ENGLISH,6.0,128988,2003-08-08,80.0,37.062535,116.93465
tt0257568,Kangaroo Jack,"('Action', 'Adventure', 'Comedy', 'Crime', 'Family')",PG ,USA,ENGLISH,4.4,26274,2003-01-17,60.0,21.895483,66.934963
tt0260878,Emotional Backgammon,"('Drama',)",R,UK,ENGLISH,3.8,60,2003-08-29,,,
tt0261992,Winter Break,"('Comedy', 'Drama')",R,USA,ENGLISH,5.1,1141,2003-08-13,,,
tt0263265,Shortcut to Happiness,"('Comedy', 'Drama', 'Fantasy')",PG-13,USA,ENGLISH,5.6,4420,2007-08-17,25.0,,
tt0263757,Uptown Girls,"('Comedy', 'Drama', 'Romance')",PG-13,USA,ENGLISH,6.1,32239,2003-08-15,20.0,11.277367,36.92219
tt0264150,View from the Top,"('Comedy', 'Romance')",PG-13,USA,ENGLISH,5.2,23364,2003-03-21,30.0,7.009513,15.589458
tt0264365,Ancient Warriors,"('Action',)",R,USA,ENGLISH,3.4,215,2003-03-01,,,
