Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0327597,Coraline,"('Animation', 'Drama', 'Fantasy', 'Thriller')",,USA,ENGLISH,7.7,172350,2009-02-06,60.0,16.849646,75.286229
tt0346631,Blood and Bone,"('Action', 'Drama')",,USA,ENGLISH,6.7,28635,2009-09-20,3.7,,
tt0361748,Inglourious Basterds,"('Adventure', 'Drama', 'War')",,GERMANY,ENGLISH,8.3,1067657,2009-08-21,75.0,38.054676,120.540719
tt0362478,The Box,"('Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,5.6,83316,2009-11-06,16.0,7.571417,15.045676
tt0365929,Whiteout,"('Action', 'Crime', 'Horror', 'Mystery', 'Thriller')",,USA,ENGLISH,5.5,34796,2009-09-11,35.0,4.915104,10.275638
tt0374853,Malice in Wonderland,"('Adventure', 'Drama', 'Fantasy', 'Mystery', 'Thriller')",,UK,ENGLISH,6.0,2844,2010-12-30,,,
tt0375568,Astro Boy,"('Animation', 'Action', 'Comedy', 'Family', 'Sci-Fi')",,HONG KONG,ENGLISH,6.3,29338,2009-10-23,65.0,6.702923,19.548064
tt0380510,The Lovely Bones,"('Drama', 'Fantasy', 'Thriller')",PG-13,USA,ENGLISH,6.7,140765,2010-01-15,65.0,0.116616,43.818839
tt0386117,Where the Wild Things Are,"('Adventure', 'Drama', 'Family', 'Fantasy')",,GERMANY,ENGLISH,6.8,94792,2009-10-16,100.0,32.695407,77.233467
tt0403702,Youth in Revolt,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,6.5,69447,2010-01-08,18.0,6.888334,15.281286
tt0409459,Watchmen,"('Action', 'Drama', 'Mystery', 'Sci-Fi')",,USA,ENGLISH,7.6,439157,2009-03-06,130.0,55.214334,107.509799
tt0417741,Harry Potter and the Half-Blood Prince,"('Adventure', 'Family', 'Fantasy', 'Mystery')",,UK,ENGLISH,7.6,392807,2009-07-15,250.0,77.835727,301.959197
tt0421237,Royal Kill,"('Action', 'Thriller')",PG-13,USA,ENGLISH,3.3,508,2009-04-10,0.35,0.026278,0.05009
tt0432283,Fantastic Mr. Fox,"('Animation', 'Adventure', 'Comedy', 'Crime', 'Family')",,USA,ENGLISH,7.8,169189,2009-11-25,40.0,0.2659,21.002919
tt0433362,Daybreakers,"('Action', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller')",,AUSTRALIA,ENGLISH,6.5,114360,2010-01-08,20.0,15.146692,30.101577
tt0435711,Wild About Harry,"('Drama', 'Family')",PG-13,USA,ENGLISH,5.7,142,,,,
tt0435716,The Perfect Sleep,"('Action', 'Drama', 'Romance', 'Thriller')",,USA,ENGLISH,4.8,1047,2009-03-13,,,
tt0436339,G-Force,"('Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi')",,USA,ENGLISH,5.1,37665,2009-07-24,150.0,31.706934,119.43677
tt0437405,Paper Man,"('Comedy', 'Drama')",,USA,ENGLISH,6.6,17018,2014-05-01,,0.008613,0.015388
tt0438488,Terminator Salvation,"('Action', 'Adventure', 'Sci-Fi')",PG-13,USA,ENGLISH,6.6,312810,2009-05-21,200.0,51.943726,125.322469
tt0448011,Knowing,"('Drama', 'Mystery', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,6.2,204341,2009-03-20,50.0,24.604751,79.957634
tt0450336,Blood Creek,"('Horror',)",,USA,ENGLISH,5.4,10570,2009-10-09,,,
tt0450405,Cirque du Freak: The Vampire's Assistant,"('Action', 'Adventure', 'Fantasy', 'Thriller')",PG-13,USA,ENGLISH,5.9,39412,2009-10-23,40.0,6.293205,13.83813
tt0452694,The Time Traveler's Wife,"('Drama', 'Fantasy', 'Romance', 'Sci-Fi')",PG-13,USA,ENGLISH,7.1,128719,2009-08-14,39.0,18.623171,63.414846
tt0453501,It's a Mismatch,"('Comedy', 'Drama', 'Romance')",UNRATED,USA,ENGLISH,5.9,77,2009-07-24,2.0,,
tt0457355,From Mexico with Love,"('Action', 'Drama', 'Sport')",PG-13,USA,ENGLISH,5.3,493,2009-10-09,3.0,0.332726,0.548775
tt0457400,Land of the Lost,"('Adventure', 'Comedy', 'Sci-Fi')",PG-13,USA,ENGLISH,5.4,58886,2009-06-05,100.0,18.83735,49.43837
tt0458525,X-Men Origins: Wolverine,"('Action', 'Adventure', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,6.6,420213,2009-05-01,150.0,85.058003,179.883157
tt0462232,Cold Storage,"('Drama', 'Horror', 'Thriller')",,USA,ENGLISH,4.8,343,2010-05-04,0.9,,
tt0464137,Baja Beach Bums,"('Comedy',)",,USA,ENGLISH,3.1,133,,,,
tt0465580,Push,"('Action', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,6.1,98607,2009-02-06,38.0,10.079109,31.8061
tt0469251,Tripping Forward,"('Comedy',)",UNRATED,USA,ENGLISH,4.4,106,2009-04-26,0.75,,
tt0469318,Dark Country,"('Crime', 'Mystery', 'Thriller')",,USA,ENGLISH,5.3,4147,2009-10-09,4.0,,
tt0471041,The Tournament,"('Action', 'Thriller')",,UK,ENGLISH,6.1,32596,2010-07-25,8.0,,
tt0472033,9,"('Animation', 'Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller')",PG-13,USA,ENGLISH,7.1,122664,2009-09-09,30.0,10.740446,31.743332
