Code,Title,Genre,MPAA,Country,Language,Rating_User,Rating_Count,Release_Date,Budget,Sales_Opening,Sales_Gross
tt0359950,The Secret Life of Walter Mitty,"('Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance')",,USA,ENGLISH,7.3,268060,2013-12-25,90.0,13.0,58.236838
tt0409379,In Secret,"('Crime', 'Drama', 'Thriller')",,USA,ENGLISH,6.2,6729,2014-04-03,,0.265515,0.420266
tt0453562,42,"('Biography', 'Drama', 'Sport')",PG-13,USA,ENGLISH,7.5,75270,2013-04-12,40.0,27.487144,95.001343
tt0469021,Alan Partridge: Alpha Papa,"('Action', 'Comedy', 'Crime')",,UK,ENGLISH,6.9,27149,2014-02-27,,0.012664,0.152211
tt0481499,The Croods,"('Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy')",,USA,ENGLISH,7.2,171522,2013-03-22,135.0,43.639736,187.168425
tt0490075,Aftermath,"('Crime', 'Thriller')",,USA,ENGLISH,5.1,258,2013-03-01,,,
tt0762138,Syrup,"('Comedy', 'Drama', 'Romance')",,USA,ENGLISH,5.7,9975,2013-05-01,2.5,0.000301,0.000656
tt0765446,Escape from Planet Earth,"('Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi')",,USA,ENGLISH,5.9,22717,2013-02-15,40.0,15.891055,57.012977
tt0770828,Man of Steel,"('Action', 'Adventure', 'Fantasy', 'Sci-Fi')",PG-13,USA,ENGLISH,7.1,624510,2013-06-14,225.0,116.619362,291.045518
tt0790628,The Incredible Burt Wonderstone,"('Adventure', 'Comedy', 'Fantasy')",PG-13,USA,ENGLISH,5.9,65999,2013-03-15,30.0,10.177257,22.525921
tt0790636,Dallas Buyers Club,"('Biography', 'Drama')",,USA,ENGLISH,8.0,387222,2013-11-22,5.0,0.260865,27.298285
tt0790736,R.I.P.D.,"('Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi')",PG-13,USA,ENGLISH,5.6,105480,2013-07-19,130.0,12.691415,33.618855
tt0795461,Scary Movie 5,"('Comedy',)",PG-13,USA,ENGLISH,3.5,57700,2013-04-12,20.0,14.157367,32.015787
tt0816442,The Book Thief,"('Drama', 'War')",PG-13,USA,ENGLISH,7.6,115505,2013-11-27,19.0,0.105005,21.488481
